ⲑⲉⲱⲇⲱⲣⲟⲥ	person	person/M
ⲑⲉⲱⲫⲓⲗⲟⲥ	person	person/M
ⲑⲱⲙⲁⲥ	person	person/M
ⲓⲁⲕⲕⲱⲃⲟⲥ	person	person/M
ⲓⲁⲕⲱⲃ	person	person/M
ⲓⲁⲕⲱⲃⲟⲥ	person	person/M
ⲓⲁⲙⲃⲣⲏⲥ	person	person/M
ⲓⲁⲛⲛⲏⲥ	person	person/M
ⲓⲁⲥⲥⲱⲛ	person	person/M
ⲓⲁⲥⲱⲛ	person	person/M
ⲓⲉⲍⲉⲕⲓⲏⲗ	person	person/M
ⲓⲉⲣⲉⲙⲓⲁⲥ	person	person/M
ⲓⲉⲣⲏⲙⲓⲁⲥ	person	person/M
ⲓⲉⲥⲥⲁⲓ	person	person/M
ⲓⲉⲭⲟⲛⲓⲁⲥ	person	person/M
ⲓⲏⲥⲟⲩⲥ	person	person/M
ⲓⲟⲣⲇⲁⲛⲏⲥ	person	person/M
ⲓⲟⲩⲇⲁ	person	person/M
ⲓⲟⲩⲇⲁⲥ	person	person/M
ⲓⲟⲩⲗⲓⲁ	person	person/F
ⲓⲟⲩⲗⲓⲟⲥ	person	person/M
ⲓⲟⲩⲛⲓⲁ	person	person/F
ⲓⲟⲩⲥⲧⲟⲥ	person	person/M
ⲓⲥ	person	person/M
ⲓⲥⲁⲁⲕ	person	person/M
ⲓⲥⲙⲁⲏⲗ	person	person/M
ⲓⲱϩⲁⲛⲏⲥ	person	person/M
ⲓⲱϩⲁⲛⲛⲁ	person	person/F
ⲓⲱϩⲁⲛⲛⲏⲥ	person	person/M
ⲓⲱⲁⲛⲛⲏⲥ	person	person/M
ⲓⲱⲃⲏⲇ	person	person/M
ⲓⲱⲏⲗ	person	person/M
ⲓⲱⲣⲁⲙ	person	person/M
ⲓⲱⲥⲁⲫⲁⲧ	person	person/M
ⲓⲱⲥⲏ	person	person/M
ⲓⲱⲥⲏⲥ	person	person/M
ⲓⲱⲥⲏⲫ	person	person/M
ⲓⲱⲥⲓⲁⲥ	person	person/M
ⲕⲁⲓⲛ	person	person/M
ⲕⲁⲓⲟⲥ	person	person/M
ⲕⲁⲓⲫⲁⲥ	person	person/M
ⲕⲁⲥⲓⲁⲛⲟⲥ	person	person/M
ⲕⲏⲫⲁⲥ	person	person/M
ⲕⲗⲁⲩⲇⲓⲟⲥ	person	person/M
ⲕⲟⲣⲛⲏⲗⲓⲟⲥ	person	person/M
ⲕⲟⲩⲁⲣⲧⲟⲥ	person	person/M
ⲕⲣⲓⲥⲡⲟⲥ	person	person/M
ⲕⲣⲟⲛⲟⲥ	person	person/M
ⲕⲩⲣⲓⲛⲟⲥ	person	person/M
ⲗⲁⲍⲁⲣⲟⲥ	person	person/M
ⲗⲉⲅⲉⲱⲛ	person	person/M
ⲗⲉⲅⲓⲱⲛ	person	person/M
ⲗⲓⲁ	person	person/F
ⲗⲓⲃⲁⲛⲟⲥ	person	person/M
ⲗⲟⲩⲕⲁⲥ	person	person/M
ⲗⲟⲩⲕⲓⲟⲥ	person	person/M
ⲗⲩⲥⲓⲁⲥ	person	person/M
ⲗⲱⲧ	person	person/M
ⲙ ⲙⲁⲑⲟⲩⲥⲁⲗⲁ	person	person/M
ⲙ ⲙⲁⲗⲉⲏⲗ	person	person/M
