f	muc	bcub	ceafe	size	type
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.75	0.78	1.02	0.45	4	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.75	0.78	1.02	0.45	4	invent_ana
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.75	0.78	1.02	0.45	4	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.75	0.78	1.02	0.45	4	invent_ana
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.71666666667	0.78	1.64	2.73	5	wrong_link
1.32666666667	0.79	1.14	2.05	2	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
0.676666666667	0.79	1.1	0.14	15	false_neg
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.783333333333	0.78	0.99	0.58	3	invent_ana
0.783333333333	0.78	0.99	0.58	3	invent_ana
0.783333333333	0.78	0.99	0.58	3	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
2.56666666667	1.57	2.7	3.43	2	wrong_link
2.56666666667	1.57	2.7	3.43	2	wrong_link
1.70333333333	0.79	1.37	2.95	5	false_neg
2.59666666667	1.57	4.02	2.2	11	wrong_link
1.70333333333	0.79	1.37	2.95	5	false_neg
2.59666666667	1.57	4.02	2.2	11	wrong_link
0.726666666667	0.78	1.03	0.37	0	invent_ante
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.56666666667	1.57	2.7	3.43	2	wrong_link
1.70333333333	0.79	1.37	2.95	5	false_neg
2.56666666667	1.57	2.7	3.43	2	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
2.59666666667	1.57	4.02	2.2	11	wrong_link
1.70333333333	0.79	1.37	2.95	5	false_neg
2.13	1.57	2.48	2.34	2	wrong_link
2.13	1.57	2.48	2.34	2	wrong_link
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	0	invent_ante
